INFO  - 2013-06-04 20:53:42.138; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@5d791d43 main
INFO  - 2013-06-04 20:53:42.168; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-06-04 20:53:42.168; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-06-04 20:53:42.170; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-06-04 20:53:42.187; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-06-04 20:53:42.201; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-06-04 20:53:42.206; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/conf/elevate.xml
INFO  - 2013-06-04 20:53:42.469; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-06-04 20:53:42.470; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@5d791d43 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-06-04 20:53:42.558; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=83 
INFO  - 2013-06-04 20:53:42.559; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-06-04 20:53:42.560; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-06-04 20:53:42.560; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-06-04 20:53:42.568; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@5d791d43 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-06-04 20:53:42.576; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-06-04 20:53:42.579; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories
INFO  - 2013-06-04 20:53:42.579; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-06-04 20:53:42.663; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-06-04 20:56:59.057; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1370372218997&wt=json} status=0 QTime=3 
INFO  - 2013-06-04 20:56:59.289; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={_=1370372219162&wt=json} status=0 QTime=101 
INFO  - 2013-06-04 20:57:07.672; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-06-04 20:57:07.673; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr-webapp/webapp/},/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/webapps/solr.war
INFO  - 2013-06-04 20:57:08.685; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=977706986
INFO  - 2013-06-04 20:57:08.693; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@bd1f554
INFO  - 2013-06-04 20:57:08.708; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-06-04 20:57:08.709; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-06-04 20:57:08.709; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-06-04 20:57:08.710; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-06-04 20:57:08.711; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-06-04 20:57:08.712; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-06-04 20:57:08.714; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data [CachedDir<<refCount=0;path=/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data;done=false>>]
INFO  - 2013-06-04 20:57:08.714; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data
INFO  - 2013-06-04 20:57:08.715; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data/index [CachedDir<<refCount=0;path=/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data/index;done=false>>]
INFO  - 2013-06-04 20:57:08.715; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr/collection1/data/index
INFO  - 2013-06-04 20:57:08.719; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/solr-webapp/webapp/},/Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/webapps/solr.war
INFO  - 2013-06-04 20:57:08.776; org.eclipse.jetty.util.thread.ShutdownThread; shutdown already commenced
INFO  - 2013-06-04 20:58:28.473; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-06-04 20:58:28.531; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/contexts at interval 0
INFO  - 2013-06-04 20:58:28.555; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/tailblues/progs/solrwork/solr-4.3.0/gigaword_stories/contexts/solr-jetty-context.xml
